RaceID,RaceName,State,CountyName,PrecinctName,CandidateName,PartyName,Votes
993,US House,GA,De Kalb,ASHFORD DUNWOODY RD,William Llop,Republican,54
993,US House,GA,De Kalb,ASHFORD PARK ELEM,William Llop,Republican,435
993,US House,GA,De Kalb,ASHFORD PARKSIDE,William Llop,Republican,272
993,US House,GA,De Kalb,AUSTIN,William Llop,Republican,484
993,US House,GA,De Kalb,BRIARLAKE ELEM,William Llop,Republican,98
993,US House,GA,De Kalb,BRIARWOOD,William Llop,Republican,260
993,US House,GA,De Kalb,BROOKHAVEN,William Llop,Republican,436
993,US House,GA,De Kalb,CHAMBLEE ,William Llop,Republican,267
993,US House,GA,De Kalb,CHAMBLEE 2,William Llop,Republican,470
993,US House,GA,De Kalb,CHESNUT ELEM,William Llop,Republican,66
993,US House,GA,De Kalb,CROSS KEYS HIGH,William Llop,Republican,484
993,US House,GA,De Kalb,DORAVILLE NORTH,William Llop,Republican,127
993,US House,GA,De Kalb,DORAVILLE SOUTH,William Llop,Republican,287
993,US House,GA,De Kalb,DRESDEN ELEM,William Llop,Republican,65
993,US House,GA,De Kalb,DUNWOODY,William Llop,Republican,44
993,US House,GA,De Kalb,DUNWOODY HIGH,William Llop,Republican,250
993,US House,GA,De Kalb,DUNWOODY LIBRARY,William Llop,Republican,51
993,US House,GA,De Kalb,EMBRY HILLS,William Llop,Republican,500
993,US House,GA,De Kalb,EVANSDALE ELEM,William Llop,Republican,139
993,US House,GA,De Kalb,GEORGETOWN SQUARE,William Llop,Republican,54
993,US House,GA,De Kalb,HAWTHORNE ELEM,William Llop,Republican,206
993,US House,GA,De Kalb,HENDERSON MILL ELEM,William Llop,Republican,266
993,US House,GA,De Kalb,HUNTLEY HILLS ELEM,William Llop,Republican,294
993,US House,GA,De Kalb,KINGSLEY ELEM,William Llop,Republican,136
993,US House,GA,De Kalb,KITTREDGE ELEM,William Llop,Republican,157
993,US House,GA,De Kalb,LAKESIDE HIGH,William Llop,Republican,68
993,US House,GA,De Kalb,LIVSEY ELEM,William Llop,Republican,69
993,US House,GA,De Kalb,MIDVALE ELEM,William Llop,Republican,98
993,US House,GA,De Kalb,MIDVALE ROAD,William Llop,Republican,132
993,US House,GA,De Kalb,MONTGOMERY ELEM,William Llop,Republican,477
993,US House,GA,De Kalb,MT. VERNON EAST,William Llop,Republican,69
993,US House,GA,De Kalb,MT. VERNON WEST,William Llop,Republican,307
993,US House,GA,De Kalb,NORTH PEACHTREE,William Llop,Republican,396
993,US House,GA,De Kalb,OAKCLIFF ELEM,William Llop,Republican,261
993,US House,GA,De Kalb,PEACHTREE MIDDLE,William Llop,Republican,177
993,US House,GA,De Kalb,PLEASANTDALE ROAD,William Llop,Republican,114
993,US House,GA,De Kalb,SILVER LAKE,William Llop,Republican,341
993,US House,GA,De Kalb,SKYLAND,William Llop,Republican,203
993,US House,GA,De Kalb,TILLY MILL ROAD,William Llop,Republican,149
993,US House,GA,De Kalb,TUCKER,William Llop,Republican,380
993,US House,GA,De Kalb,TUCKER LIBRARY,William Llop,Republican,276
993,US House,GA,De Kalb,WARREN TECH,William Llop,Republican,200
993,US House,GA,De Kalb,WINTERS CHAPEL,William Llop,Republican,413
993,US House,GA,De Kalb,ASHFORD DUNWOODY RD,Write In, Unaffiliated,419
993,US House,GA,De Kalb,ASHFORD PARK ELEM,Write In, Unaffiliated,295
993,US House,GA,De Kalb,ASHFORD PARKSIDE,Write In, Unaffiliated,112
993,US House,GA,De Kalb,AUSTIN,Write In, Unaffiliated,462
993,US House,GA,De Kalb,BRIARLAKE ELEM,Write In, Unaffiliated,388
993,US House,GA,De Kalb,BRIARWOOD,Write In, Unaffiliated,436
993,US House,GA,De Kalb,BROOKHAVEN,Write In, Unaffiliated,225
993,US House,GA,De Kalb,CHAMBLEE ,Write In, Unaffiliated,255
993,US House,GA,De Kalb,CHAMBLEE 2,Write In, Unaffiliated,488
993,US House,GA,De Kalb,CHESNUT ELEM,Write In, Unaffiliated,365
993,US House,GA,De Kalb,CROSS KEYS HIGH,Write In, Unaffiliated,241
993,US House,GA,De Kalb,DORAVILLE NORTH,Write In, Unaffiliated,104
993,US House,GA,De Kalb,DORAVILLE SOUTH,Write In, Unaffiliated,328
993,US House,GA,De Kalb,DRESDEN ELEM,Write In, Unaffiliated,182
993,US House,GA,De Kalb,DUNWOODY,Write In, Unaffiliated,21
993,US House,GA,De Kalb,DUNWOODY HIGH,Write In, Unaffiliated,470
993,US House,GA,De Kalb,DUNWOODY LIBRARY,Write In, Unaffiliated,361
993,US House,GA,De Kalb,EMBRY HILLS,Write In, Unaffiliated,67
993,US House,GA,De Kalb,EVANSDALE ELEM,Write In, Unaffiliated,450
993,US House,GA,De Kalb,GEORGETOWN SQUARE,Write In, Unaffiliated,96
993,US House,GA,De Kalb,HAWTHORNE ELEM,Write In, Unaffiliated,84
993,US House,GA,De Kalb,HENDERSON MILL ELEM,Write In, Unaffiliated,368
993,US House,GA,De Kalb,HUNTLEY HILLS ELEM,Write In, Unaffiliated,208
993,US House,GA,De Kalb,KINGSLEY ELEM,Write In, Unaffiliated,355
993,US House,GA,De Kalb,KITTREDGE ELEM,Write In, Unaffiliated,301
993,US House,GA,De Kalb,LAKESIDE HIGH,Write In, Unaffiliated,202
993,US House,GA,De Kalb,LIVSEY ELEM,Write In, Unaffiliated,147
993,US House,GA,De Kalb,MIDVALE ELEM,Write In, Unaffiliated,284
993,US House,GA,De Kalb,MIDVALE ROAD,Write In, Unaffiliated,85
993,US House,GA,De Kalb,MONTGOMERY ELEM,Write In, Unaffiliated,286
993,US House,GA,De Kalb,MT. VERNON EAST,Write In, Unaffiliated,72
993,US House,GA,De Kalb,MT. VERNON WEST,Write In, Unaffiliated,74
993,US House,GA,De Kalb,NORTH PEACHTREE,Write In, Unaffiliated,149
993,US House,GA,De Kalb,OAKCLIFF ELEM,Write In, Unaffiliated,338
993,US House,GA,De Kalb,PEACHTREE MIDDLE,Write In, Unaffiliated,474
993,US House,GA,De Kalb,PLEASANTDALE ROAD,Write In, Unaffiliated,56
993,US House,GA,De Kalb,SILVER LAKE,Write In, Unaffiliated,381
993,US House,GA,De Kalb,SKYLAND,Write In, Unaffiliated,365
993,US House,GA,De Kalb,TILLY MILL ROAD,Write In, Unaffiliated,67
993,US House,GA,De Kalb,TUCKER,Write In, Unaffiliated,482
993,US House,GA,De Kalb,TUCKER LIBRARY,Write In, Unaffiliated,202
993,US House,GA,De Kalb,WARREN TECH,Write In, Unaffiliated,260
993,US House,GA,De Kalb,WINTERS CHAPEL,Write In, Unaffiliated,330
993,US House,GA,De Kalb,ASHFORD DUNWOODY RD,Karen Handel, Republican,29
993,US House,GA,De Kalb,ASHFORD PARK ELEM,Karen Handel, Republican,280
993,US House,GA,De Kalb,ASHFORD PARKSIDE,Karen Handel, Republican,416
993,US House,GA,De Kalb,AUSTIN,Karen Handel, Republican,250
993,US House,GA,De Kalb,BRIARLAKE ELEM,Karen Handel, Republican,58
993,US House,GA,De Kalb,BRIARWOOD,Karen Handel, Republican,43
993,US House,GA,De Kalb,BROOKHAVEN,Karen Handel, Republican,157
993,US House,GA,De Kalb,CHAMBLEE ,Karen Handel, Republican,72
993,US House,GA,De Kalb,CHAMBLEE 2,Karen Handel, Republican,179
993,US House,GA,De Kalb,CHESNUT ELEM,Karen Handel, Republican,272
993,US House,GA,De Kalb,CROSS KEYS HIGH,Karen Handel, Republican,436
993,US House,GA,De Kalb,DORAVILLE NORTH,Karen Handel, Republican,488
993,US House,GA,De Kalb,DORAVILLE SOUTH,Karen Handel, Republican,25
993,US House,GA,De Kalb,DRESDEN ELEM,Karen Handel, Republican,456
993,US House,GA,De Kalb,DUNWOODY,Karen Handel, Republican,24
993,US House,GA,De Kalb,DUNWOODY HIGH,Karen Handel, Republican,32
993,US House,GA,De Kalb,DUNWOODY LIBRARY,Karen Handel, Republican,486
993,US House,GA,De Kalb,EMBRY HILLS,Karen Handel, Republican,270
993,US House,GA,De Kalb,EVANSDALE ELEM,Karen Handel, Republican,386
993,US House,GA,De Kalb,GEORGETOWN SQUARE,Karen Handel, Republican,378
993,US House,GA,De Kalb,HAWTHORNE ELEM,Karen Handel, Republican,274
993,US House,GA,De Kalb,HENDERSON MILL ELEM,Karen Handel, Republican,222
993,US House,GA,De Kalb,HUNTLEY HILLS ELEM,Karen Handel, Republican,152
993,US House,GA,De Kalb,KINGSLEY ELEM,Karen Handel, Republican,26
993,US House,GA,De Kalb,KITTREDGE ELEM,Karen Handel, Republican,193
993,US House,GA,De Kalb,LAKESIDE HIGH,Karen Handel, Republican,23
993,US House,GA,De Kalb,LIVSEY ELEM,Karen Handel, Republican,318
993,US House,GA,De Kalb,MIDVALE ELEM,Karen Handel, Republican,96
993,US House,GA,De Kalb,MIDVALE ROAD,Karen Handel, Republican,368
993,US House,GA,De Kalb,MONTGOMERY ELEM,Karen Handel, Republican,416
993,US House,GA,De Kalb,MT. VERNON EAST,Karen Handel, Republican,47
993,US House,GA,De Kalb,MT. VERNON WEST,Karen Handel, Republican,277
993,US House,GA,De Kalb,NORTH PEACHTREE,Karen Handel, Republican,396
993,US House,GA,De Kalb,OAKCLIFF ELEM,Karen Handel, Republican,191
993,US House,GA,De Kalb,PEACHTREE MIDDLE,Karen Handel, Republican,52
993,US House,GA,De Kalb,PLEASANTDALE ROAD,Karen Handel, Republican,415
993,US House,GA,De Kalb,SILVER LAKE,Karen Handel, Republican,212
993,US House,GA,De Kalb,SKYLAND,Karen Handel, Republican,75
993,US House,GA,De Kalb,TILLY MILL ROAD,Karen Handel, Republican,231
993,US House,GA,De Kalb,TUCKER,Karen Handel, Republican,62
993,US House,GA,De Kalb,TUCKER LIBRARY,Karen Handel, Republican,408
993,US House,GA,De Kalb,WARREN TECH,Karen Handel, Republican,224
993,US House,GA,De Kalb,WINTERS CHAPEL,Karen Handel, Republican,381
993,US House,GA,De Kalb,ASHFORD DUNWOODY RD,David Abroms, Republican,345
993,US House,GA,De Kalb,ASHFORD PARK ELEM,David Abroms, Republican,348
993,US House,GA,De Kalb,ASHFORD PARKSIDE,David Abroms, Republican,328
993,US House,GA,De Kalb,AUSTIN,David Abroms, Republican,334
993,US House,GA,De Kalb,BRIARLAKE ELEM,David Abroms, Republican,388
993,US House,GA,De Kalb,BRIARWOOD,David Abroms, Republican,207
993,US House,GA,De Kalb,BROOKHAVEN,David Abroms, Republican,480
993,US House,GA,De Kalb,CHAMBLEE ,David Abroms, Republican,30
993,US House,GA,De Kalb,CHAMBLEE 2,David Abroms, Republican,491
993,US House,GA,De Kalb,CHESNUT ELEM,David Abroms, Republican,336
993,US House,GA,De Kalb,CROSS KEYS HIGH,David Abroms, Republican,190
993,US House,GA,De Kalb,DORAVILLE NORTH,David Abroms, Republican,98
993,US House,GA,De Kalb,DORAVILLE SOUTH,David Abroms, Republican,443
993,US House,GA,De Kalb,DRESDEN ELEM,David Abroms, Republican,372
993,US House,GA,De Kalb,DUNWOODY,David Abroms, Republican,468
993,US House,GA,De Kalb,DUNWOODY HIGH,David Abroms, Republican,75
993,US House,GA,De Kalb,DUNWOODY LIBRARY,David Abroms, Republican,310
993,US House,GA,De Kalb,EMBRY HILLS,David Abroms, Republican,290
993,US House,GA,De Kalb,EVANSDALE ELEM,David Abroms, Republican,374
993,US House,GA,De Kalb,GEORGETOWN SQUARE,David Abroms, Republican,105
993,US House,GA,De Kalb,HAWTHORNE ELEM,David Abroms, Republican,466
993,US House,GA,De Kalb,HENDERSON MILL ELEM,David Abroms, Republican,469
993,US House,GA,De Kalb,HUNTLEY HILLS ELEM,David Abroms, Republican,456
993,US House,GA,De Kalb,KINGSLEY ELEM,David Abroms, Republican,147
993,US House,GA,De Kalb,KITTREDGE ELEM,David Abroms, Republican,270
993,US House,GA,De Kalb,LAKESIDE HIGH,David Abroms, Republican,32
993,US House,GA,De Kalb,LIVSEY ELEM,David Abroms, Republican,1
993,US House,GA,De Kalb,MIDVALE ELEM,David Abroms, Republican,144
993,US House,GA,De Kalb,MIDVALE ROAD,David Abroms, Republican,385
993,US House,GA,De Kalb,MONTGOMERY ELEM,David Abroms, Republican,238
993,US House,GA,De Kalb,MT. VERNON EAST,David Abroms, Republican,319
993,US House,GA,De Kalb,MT. VERNON WEST,David Abroms, Republican,19
993,US House,GA,De Kalb,NORTH PEACHTREE,David Abroms, Republican,179
993,US House,GA,De Kalb,OAKCLIFF ELEM,David Abroms, Republican,35
993,US House,GA,De Kalb,PEACHTREE MIDDLE,David Abroms, Republican,313
993,US House,GA,De Kalb,PLEASANTDALE ROAD,David Abroms, Republican,46
993,US House,GA,De Kalb,SILVER LAKE,David Abroms, Republican,295
993,US House,GA,De Kalb,SKYLAND,David Abroms, Republican,363
993,US House,GA,De Kalb,TILLY MILL ROAD,David Abroms, Republican,157
993,US House,GA,De Kalb,TUCKER,David Abroms, Republican,182
993,US House,GA,De Kalb,TUCKER LIBRARY,David Abroms, Republican,300
993,US House,GA,De Kalb,WARREN TECH,David Abroms, Republican,343
993,US House,GA,De Kalb,WINTERS CHAPEL,David Abroms, Republican,457
993,US House,GA,De Kalb,ASHFORD DUNWOODY RD,Mohammad Ali Bhuiyan, Republican,298
993,US House,GA,De Kalb,ASHFORD PARK ELEM,Mohammad Ali Bhuiyan, Republican,448
993,US House,GA,De Kalb,ASHFORD PARKSIDE,Mohammad Ali Bhuiyan, Republican,246
993,US House,GA,De Kalb,AUSTIN,Mohammad Ali Bhuiyan, Republican,412
993,US House,GA,De Kalb,BRIARLAKE ELEM,Mohammad Ali Bhuiyan, Republican,128
993,US House,GA,De Kalb,BRIARWOOD,Mohammad Ali Bhuiyan, Republican,361
993,US House,GA,De Kalb,BROOKHAVEN,Mohammad Ali Bhuiyan, Republican,307
993,US House,GA,De Kalb,CHAMBLEE ,Mohammad Ali Bhuiyan, Republican,347
993,US House,GA,De Kalb,CHAMBLEE 2,Mohammad Ali Bhuiyan, Republican,477
993,US House,GA,De Kalb,CHESNUT ELEM,Mohammad Ali Bhuiyan, Republican,172
993,US House,GA,De Kalb,CROSS KEYS HIGH,Mohammad Ali Bhuiyan, Republican,259
993,US House,GA,De Kalb,DORAVILLE NORTH,Mohammad Ali Bhuiyan, Republican,298
