BRIARLAKE ELEM,M 474.5 554.5 L 474.5 566.5 L 473.5 567.5 L 461.5 567.5 L 461.5 591.5 L 472.5 591.5 L 472.5 579.5 L 473.5 578.5 L 485.5 578.5 L 485.5 554.5 z
CROSS KEYS HIGH,M 357.5 554.5 L 357.5 578.5 L 381.5 578.5 L 381.5 554.5 z
MIDVALE ROAD,M 487.5 541.5 L 487.5 578.5 L 511.5 578.5 L 511.5 541.5 z
LAKESIDE HIGH,M 448.5 541.5 L 448.5 553.5 L 447.5 554.5 L 422.5 554.5 L 422.5 565.5 L 447.5 565.5 L 448.5 566.5 L 448.5 591.5 L 459.5 591.5 L 459.5 566.5 L 460.5 565.5 L 472.5 565.5 L 472.5 554.5 L 460.5 554.5 L 459.5 553.5 L 459.5 541.5 z
BRIARWOOD,M 383.5 541.5 L 383.5 578.5 L 394.5 578.5 L 394.5 566.5 L 395.5 565.5 L 407.5 565.5 L 407.5 554.5 L 395.5 554.5 L 394.5 553.5 L 394.5 541.5 z
TUCKER,M 552.5 528.5 L 552.5 552.5 L 590.5 552.5 L 591.5 553.5 L 591.5 565.5 L 602.5 565.5 L 602.5 541.5 L 564.5 541.5 L 563.5 540.5 L 563.5 528.5 z
TUCKER LIBRARY,M 539.5 528.5 L 539.5 553.5 L 538.5 554.5 L 526.5 554.5 L 526.5 565.5 L 563.5 565.5 L 563.5 554.5 L 551.5 554.5 L 550.5 553.5 L 550.5 528.5 z
MIDVALE ELEM,M 513.5 528.5 L 513.5 578.5 L 524.5 578.5 L 524.5 553.5 L 525.5 552.5 L 537.5 552.5 L 537.5 541.5 L 525.5 541.5 L 524.5 540.5 L 524.5 528.5 z
LIVSEY ELEM,M 526.5 515.5 L 526.5 539.5 L 537.5 539.5 L 537.5 527.5 L 538.5 526.5 L 550.5 526.5 L 550.5 515.5 z
SKYLAND,M 409.5 515.5 L 409.5 527.5 L 408.5 528.5 L 396.5 528.5 L 396.5 552.5 L 407.5 552.5 L 407.5 540.5 L 408.5 539.5 L 420.5 539.5 L 420.5 515.5 z
BROOKHAVEN,M 383.5 515.5 L 383.5 527.5 L 382.5 528.5 L 357.5 528.5 L 357.5 552.5 L 381.5 552.5 L 381.5 540.5 L 382.5 539.5 L 394.5 539.5 L 394.5 527.5 L 395.5 526.5 L 407.5 526.5 L 407.5 515.5 z
EMBRY HILLS,M 500.5 502.5 L 500.5 539.5 L 511.5 539.5 L 511.5 527.5 L 512.5 526.5 L 524.5 526.5 L 524.5 515.5 L 512.5 515.5 L 511.5 514.5 L 511.5 502.5 z
HENDERSON MILL ELEM,M 474.5 502.5 L 474.5 527.5 L 473.5 528.5 L 461.5 528.5 L 461.5 552.5 L 485.5 552.5 L 485.5 502.5 z
HAWTHORNE ELEM,M 448.5 502.5 L 448.5 527.5 L 447.5 528.5 L 435.5 528.5 L 435.5 552.5 L 446.5 552.5 L 446.5 540.5 L 447.5 539.5 L 459.5 539.5 L 459.5 527.5 L 460.5 526.5 L 472.5 526.5 L 472.5 502.5 z
DRESDEN ELEM,M 435.5 502.5 L 435.5 514.5 L 434.5 515.5 L 422.5 515.5 L 422.5 540.5 L 421.5 541.5 L 409.5 541.5 L 409.5 578.5 L 420.5 578.5 L 420.5 553.5 L 421.5 552.5 L 433.5 552.5 L 433.5 527.5 L 434.5 526.5 L 446.5 526.5 L 446.5 502.5 z
EVANSDALE ELEM,M 474.5 489.5 L 474.5 500.5 L 486.5 500.5 L 487.5 501.5 L 487.5 539.5 L 498.5 539.5 L 498.5 489.5 z
ASHFORD PARK ELEM,M 409.5 489.5 L 409.5 501.5 L 408.5 502.5 L 396.5 502.5 L 396.5 513.5 L 433.5 513.5 L 433.5 489.5 z
SILVER LAKE,M 344.5 489.5 L 344.5 501.5 L 343.5 502.5 L 331.5 502.5 L 331.5 513.5 L 356.5 513.5 L 357.5 514.5 L 357.5 526.5 L 381.5 526.5 L 381.5 514.5 L 382.5 513.5 L 394.5 513.5 L 394.5 502.5 L 369.5 502.5 L 368.5 501.5 L 368.5 489.5 z
PLEASANTDALE ROAD,M 487.5 476.5 L 487.5 487.5 L 499.5 487.5 L 500.5 488.5 L 500.5 500.5 L 512.5 500.5 L 513.5 501.5 L 513.5 513.5 L 537.5 513.5 L 537.5 502.5 L 525.5 502.5 L 524.5 501.5 L 524.5 489.5 L 512.5 489.5 L 511.5 488.5 L 511.5 476.5 z
WARREN TECH,M 461.5 476.5 L 461.5 500.5 L 472.5 500.5 L 472.5 476.5 z
CHAMBLEE,M 448.5 476.5 L 448.5 488.5 L 447.5 489.5 L 435.5 489.5 L 435.5 500.5 L 459.5 500.5 L 459.5 476.5 z
ASHFORD DUNWOODY RD,M 370.5 476.5 L 370.5 500.5 L 407.5 500.5 L 407.5 476.5 z
OAKCLIFF ELEM,M 474.5 463.5 L 474.5 487.5 L 485.5 487.5 L 485.5 475.5 L 486.5 474.5 L 498.5 474.5 L 498.5 463.5 z
DORAVILLE SOUTH,M 448.5 463.5 L 448.5 474.5 L 472.5 474.5 L 472.5 463.5 z
CHAMBLEE 2,M 422.5 463.5 L 422.5 475.5 L 421.5 476.5 L 409.5 476.5 L 409.5 487.5 L 446.5 487.5 L 446.5 463.5 z
ASHFORD PARKSIDE,M 383.5 450.5 L 383.5 462.5 L 382.5 463.5 L 357.5 463.5 L 357.5 475.5 L 356.5 476.5 L 344.5 476.5 L 344.5 487.5 L 368.5 487.5 L 368.5 475.5 L 369.5 474.5 L 407.5 474.5 L 407.5 463.5 L 395.5 463.5 L 394.5 462.5 L 394.5 450.5 z
Chattahoochee 01,M 140.5 440.5 L 140.5 451.5 L 152.5 451.5 L 153.5 452.5 L 153.5 464.5 L 164.5 464.5 L 164.5 452.5 L 165.5 451.5 L 190.5 451.5 L 190.5 440.5 z
DORAVILLE NORTH,M 461.5 437.5 L 461.5 449.5 L 460.5 450.5 L 448.5 450.5 L 448.5 461.5 L 485.5 461.5 L 485.5 450.5 L 473.5 450.5 L 472.5 449.5 L 472.5 437.5 z
KITTREDGE ELEM,M 396.5 437.5 L 396.5 461.5 L 408.5 461.5 L 409.5 462.5 L 409.5 474.5 L 420.5 474.5 L 420.5 437.5 z
MONTGOMERY ELEM,M 357.5 437.5 L 357.5 461.5 L 381.5 461.5 L 381.5 449.5 L 382.5 448.5 L 394.5 448.5 L 394.5 437.5 z
Marietta 7A,M 140.5 427.5 L 140.5 438.5 L 151.5 438.5 L 151.5 427.5 z
SS12,M 320.5 426.5 L 320.5 438.5 L 319.5 439.5 L 307.5 439.5 L 307.5 464.5 L 306.5 465.5 L 294.5 465.5 L 294.5 476.5 L 318.5 476.5 L 318.5 451.5 L 319.5 450.5 L 331.5 450.5 L 331.5 426.5 z
SS11A,M 281.5 426.5 L 281.5 463.5 L 305.5 463.5 L 305.5 438.5 L 306.5 437.5 L 318.5 437.5 L 318.5 426.5 z
SS11B,M 255.5 426.5 L 255.5 437.5 L 279.5 437.5 L 279.5 426.5 z
HUNTLEY HILLS ELEM,M 422.5 424.5 L 422.5 461.5 L 446.5 461.5 L 446.5 449.5 L 447.5 448.5 L 459.5 448.5 L 459.5 437.5 L 434.5 437.5 L 433.5 436.5 L 433.5 424.5 z
SS08A,M 307.5 413.5 L 307.5 424.5 L 331.5 424.5 L 331.5 413.5 z
SS07C,M 294.5 413.5 L 294.5 424.5 L 305.5 424.5 L 305.5 413.5 z
SS11C,M 281.5 413.5 L 281.5 424.5 L 292.5 424.5 L 292.5 413.5 z
SS31,M 255.5 413.5 L 255.5 424.5 L 279.5 424.5 L 279.5 413.5 z
SS16,M 216.5 413.5 L 216.5 450.5 L 227.5 450.5 L 227.5 438.5 L 228.5 437.5 L 240.5 437.5 L 240.5 413.5 z
CHESNUT ELEM,M 461.5 411.5 L 461.5 423.5 L 460.5 424.5 L 435.5 424.5 L 435.5 435.5 L 472.5 435.5 L 472.5 411.5 z
