BRIARLAKE ELEM,M 426.5 530.5 L 426.5 542.5 L 425.5 543.5 L 413.5 543.5 L 413.5 567.5 L 424.5 567.5 L 424.5 555.5 L 425.5 554.5 L 437.5 554.5 L 437.5 530.5 z
CROSS KEYS HIGH,M 309.5 530.5 L 309.5 554.5 L 333.5 554.5 L 333.5 530.5 z
MIDVALE ROAD,M 439.5 517.5 L 439.5 554.5 L 463.5 554.5 L 463.5 517.5 z
LAKESIDE HIGH,M 400.5 517.5 L 400.5 529.5 L 399.5 530.5 L 374.5 530.5 L 374.5 541.5 L 399.5 541.5 L 400.5 542.5 L 400.5 567.5 L 411.5 567.5 L 411.5 542.5 L 412.5 541.5 L 424.5 541.5 L 424.5 530.5 L 412.5 530.5 L 411.5 529.5 L 411.5 517.5 z
BRIARWOOD,M 335.5 517.5 L 335.5 554.5 L 346.5 554.5 L 346.5 542.5 L 347.5 541.5 L 359.5 541.5 L 359.5 530.5 L 347.5 530.5 L 346.5 529.5 L 346.5 517.5 z
TUCKER,M 504.5 504.5 L 504.5 528.5 L 542.5 528.5 L 543.5 529.5 L 543.5 541.5 L 554.5 541.5 L 554.5 517.5 L 516.5 517.5 L 515.5 516.5 L 515.5 504.5 z
TUCKER LIBRARY,M 491.5 504.5 L 491.5 529.5 L 490.5 530.5 L 478.5 530.5 L 478.5 541.5 L 515.5 541.5 L 515.5 530.5 L 503.5 530.5 L 502.5 529.5 L 502.5 504.5 z
MIDVALE ELEM,M 465.5 504.5 L 465.5 554.5 L 476.5 554.5 L 476.5 529.5 L 477.5 528.5 L 489.5 528.5 L 489.5 517.5 L 477.5 517.5 L 476.5 516.5 L 476.5 504.5 z
LIVSEY ELEM,M 478.5 491.5 L 478.5 515.5 L 489.5 515.5 L 489.5 503.5 L 490.5 502.5 L 502.5 502.5 L 502.5 491.5 z
SKYLAND,M 361.5 491.5 L 361.5 503.5 L 360.5 504.5 L 348.5 504.5 L 348.5 528.5 L 359.5 528.5 L 359.5 516.5 L 360.5 515.5 L 372.5 515.5 L 372.5 491.5 z
BROOKHAVEN,M 335.5 491.5 L 335.5 503.5 L 334.5 504.5 L 309.5 504.5 L 309.5 528.5 L 333.5 528.5 L 333.5 516.5 L 334.5 515.5 L 346.5 515.5 L 346.5 503.5 L 347.5 502.5 L 359.5 502.5 L 359.5 491.5 z
EMBRY HILLS,M 452.5 478.5 L 452.5 515.5 L 463.5 515.5 L 463.5 503.5 L 464.5 502.5 L 476.5 502.5 L 476.5 491.5 L 464.5 491.5 L 463.5 490.5 L 463.5 478.5 z
HENDERSON MILL ELEM,M 426.5 478.5 L 426.5 503.5 L 425.5 504.5 L 413.5 504.5 L 413.5 528.5 L 437.5 528.5 L 437.5 478.5 z
HAWTHORNE ELEM,M 400.5 478.5 L 400.5 503.5 L 399.5 504.5 L 387.5 504.5 L 387.5 528.5 L 398.5 528.5 L 398.5 516.5 L 399.5 515.5 L 411.5 515.5 L 411.5 503.5 L 412.5 502.5 L 424.5 502.5 L 424.5 478.5 z
DRESDEN ELEM,M 387.5 478.5 L 387.5 490.5 L 386.5 491.5 L 374.5 491.5 L 374.5 516.5 L 373.5 517.5 L 361.5 517.5 L 361.5 554.5 L 372.5 554.5 L 372.5 529.5 L 373.5 528.5 L 385.5 528.5 L 385.5 503.5 L 386.5 502.5 L 398.5 502.5 L 398.5 478.5 z
EVANSDALE ELEM,M 426.5 465.5 L 426.5 476.5 L 438.5 476.5 L 439.5 477.5 L 439.5 515.5 L 450.5 515.5 L 450.5 465.5 z
ASHFORD PARK ELEM,M 361.5 465.5 L 361.5 477.5 L 360.5 478.5 L 348.5 478.5 L 348.5 489.5 L 385.5 489.5 L 385.5 465.5 z
SILVER LAKE,M 296.5 465.5 L 296.5 477.5 L 295.5 478.5 L 283.5 478.5 L 283.5 489.5 L 308.5 489.5 L 309.5 490.5 L 309.5 502.5 L 333.5 502.5 L 333.5 490.5 L 334.5 489.5 L 346.5 489.5 L 346.5 478.5 L 321.5 478.5 L 320.5 477.5 L 320.5 465.5 z
PLEASANTDALE ELEM,M 439.5 452.5 L 439.5 463.5 L 451.5 463.5 L 452.5 464.5 L 452.5 476.5 L 464.5 476.5 L 465.5 477.5 L 465.5 489.5 L 489.5 489.5 L 489.5 478.5 L 477.5 478.5 L 476.5 477.5 L 476.5 465.5 L 464.5 465.5 L 463.5 464.5 L 463.5 452.5 z
WARREN TECH,M 413.5 452.5 L 413.5 476.5 L 424.5 476.5 L 424.5 452.5 z
ASHFORD DUNWOODY RD,M 322.5 452.5 L 322.5 476.5 L 359.5 476.5 L 359.5 452.5 z
Chattahoochee 01,M 140.5 452.5 L 140.5 463.5 L 152.5 463.5 L 153.5 464.5 L 153.5 476.5 L 164.5 476.5 L 164.5 464.5 L 165.5 463.5 L 190.5 463.5 L 190.5 452.5 z
OAKCLIFF ELEM,M 426.5 439.5 L 426.5 463.5 L 437.5 463.5 L 437.5 451.5 L 438.5 450.5 L 450.5 450.5 L 450.5 439.5 z
DORAVILLE SOUTH,M 400.5 439.5 L 400.5 450.5 L 424.5 450.5 L 424.5 439.5 z
CHAMBLEE,M 374.5 439.5 L 374.5 451.5 L 373.5 452.5 L 361.5 452.5 L 361.5 463.5 L 386.5 463.5 L 387.5 464.5 L 387.5 476.5 L 411.5 476.5 L 411.5 452.5 L 399.5 452.5 L 398.5 451.5 L 398.5 439.5 z
Marietta 7A,M 140.5 439.5 L 140.5 450.5 L 151.5 450.5 L 151.5 439.5 z
ASHFORD PARKSIDE,M 335.5 426.5 L 335.5 438.5 L 334.5 439.5 L 309.5 439.5 L 309.5 451.5 L 308.5 452.5 L 296.5 452.5 L 296.5 463.5 L 320.5 463.5 L 320.5 451.5 L 321.5 450.5 L 359.5 450.5 L 359.5 439.5 L 347.5 439.5 L 346.5 438.5 L 346.5 426.5 z
SS12,M 296.5 426.5 L 296.5 438.5 L 295.5 439.5 L 283.5 439.5 L 283.5 464.5 L 282.5 465.5 L 270.5 465.5 L 270.5 476.5 L 294.5 476.5 L 294.5 451.5 L 295.5 450.5 L 307.5 450.5 L 307.5 426.5 z
SS11A,M 257.5 426.5 L 257.5 463.5 L 281.5 463.5 L 281.5 438.5 L 282.5 437.5 L 294.5 437.5 L 294.5 426.5 z
SS11B,M 231.5 426.5 L 231.5 437.5 L 255.5 437.5 L 255.5 426.5 z
DORAVILLE NORTH,M 413.5 413.5 L 413.5 425.5 L 412.5 426.5 L 400.5 426.5 L 400.5 437.5 L 437.5 437.5 L 437.5 426.5 L 425.5 426.5 L 424.5 425.5 L 424.5 413.5 z
KITTREDGE ELEM,M 348.5 413.5 L 348.5 437.5 L 360.5 437.5 L 361.5 438.5 L 361.5 450.5 L 372.5 450.5 L 372.5 413.5 z
MONTGOMERY ELEM,M 309.5 413.5 L 309.5 437.5 L 333.5 437.5 L 333.5 425.5 L 334.5 424.5 L 346.5 424.5 L 346.5 413.5 z
SS08A,M 283.5 413.5 L 283.5 424.5 L 307.5 424.5 L 307.5 413.5 z
SS07C,M 270.5 413.5 L 270.5 424.5 L 281.5 424.5 L 281.5 413.5 z
SS11C,M 257.5 413.5 L 257.5 424.5 L 268.5 424.5 L 268.5 413.5 z
SS31,M 231.5 413.5 L 231.5 424.5 L 255.5 424.5 L 255.5 413.5 z
SS16,M 192.5 413.5 L 192.5 450.5 L 203.5 450.5 L 203.5 438.5 L 204.5 437.5 L 216.5 437.5 L 216.5 413.5 z
HUNTLEY HILLS ELEM,M 374.5 400.5 L 374.5 437.5 L 398.5 437.5 L 398.5 425.5 L 399.5 424.5 L 411.5 424.5 L 411.5 413.5 L 386.5 413.5 L 385.5 412.5 L 385.5 400.5 z
SS08D,M 283.5 400.5 L 283.5 411.5 L 307.5 411.5 L 307.5 400.5 z
SS08B,M 270.5 400.5 L 270.5 411.5 L 281.5 411.5 L 281.5 400.5 z
SS07B,M 257.5 400.5 L 257.5 411.5 L 268.5 411.5 L 268.5 400.5 z
SS06,M 218.5 400.5 L 218.5 437.5 L 229.5 437.5 L 229.5 400.5 z
Sope Creek 02,M 166.5 400.5 L 166.5 412.5 L 165.5 413.5 L 153.5 413.5 L 153.5 450.5 L 190.5 450.5 L 190.5 426.5 L 178.5 426.5 L 177.5 425.5 L 177.5 400.5 z
Marietta 6A,M 153.5 400.5 L 153.5 411.5 L 164.5 411.5 L 164.5 400.5 z
CHESNUT ELEM,M 413.5 387.5 L 413.5 399.5 L 412.5 400.5 L 387.5 400.5 L 387.5 411.5 L 424.5 411.5 L 424.5 387.5 z
GEORGETOWN SQUARE,M 322.5 387.5 L 322.5 399.5 L 321.5 400.5 L 309.5 400.5 L 309.5 411.5 L 359.5 411.5 L 359.5 387.5 z
SS08C,M 283.5 387.5 L 283.5 398.5 L 294.5 398.5 L 294.5 387.5 z
SS07A,M 244.5 387.5 L 244.5 398.5 L 268.5 398.5 L 268.5 387.5 z
SS03,M 231.5 387.5 L 231.5 411.5 L 255.5 411.5 L 255.5 400.5 L 243.5 400.5 L 242.5 399.5 L 242.5 387.5 z
Sope Creek 03,M 192.5 387.5 L 192.5 399.5 L 191.5 400.5 L 179.5 400.5 L 179.5 424.5 L 190.5 424.5 L 190.5 412.5 L 191.5 411.5 L 216.5 411.5 L 216.5 387.5 z
Powers Ferry 01,M 88.5 387.5 L 88.5 398.5 L 99.5 398.5 L 99.5 387.5 z
NORTH PEACHTREE,M 387.5 374.5 L 387.5 385.5 L 399.5 385.5 L 400.5 386.5 L 400.5 398.5 L 411.5 398.5 L 411.5 374.5 z
PEACHTREE MIDDLE,M 361.5 374.5 L 361.5 411.5 L 372.5 411.5 L 372.5 399.5 L 373.5 398.5 L 398.5 398.5 L 398.5 387.5 L 386.5 387.5 L 385.5 386.5 L 385.5 374.5 z
SS05,M 218.5 374.5 L 218.5 398.5 L 229.5 398.5 L 229.5 386.5 L 230.5 385.5 L 255.5 385.5 L 255.5 374.5 z
DUNWOODY,M 309.5 361.5 L 309.5 386.5 L 308.5 387.5 L 296.5 387.5 L 296.5 398.5 L 320.5 398.5 L 320.5 386.5 L 321.5 385.5 L 346.5 385.5 L 346.5 374.5 L 321.5 374.5 L 320.5 373.5 L 320.5 361.5 z
SS02B,M 244.5 361.5 L 244.5 372.5 L 268.5 372.5 L 268.5 361.5 z
SS18A,M 231.5 361.5 L 231.5 372.5 L 242.5 372.5 L 242.5 361.5 z
